regione,code,1891,1911,1938,1951,1971,1981,2001
piemonte,1,1.08,1.15,1.39,1.47,1.21,1.17,1.15
valle d'aosta,2,,,,1.58,1.35,1.25,1.24
liguria,7,1.44,1.54,1.68,1.62,1.16,1.09,1.09
lombardia,3,1.15,1.19,1.39,1.53,1.34,1.3,1.3
trentino-alto adige,4,,,0.95,1.06,1.01,1.12,1.29
veneto,5,0.8,0.86,0.84,0.98,0.99,1.08,1.13
friuli-venezia giulia,6,,,1.19,1.11,1,1.09,1.12
emilia-romagna,8,1.06,1.08,1.04,1.12,1.14,1.29,1.23
toscana,9,1.03,0.97,1.01,1.05,1.05,1.1,1.09
marche,11,0.88,0.81,0.79,0.86,0.91,1.05,0.99
umbria,10,1.02,0.92,0.96,0.9,0.93,0.98,0.96
lazio,12,1.57,1.49,1.19,1.08,1.07,1.04,1.13
abruzzo,13,0.66,0.68,0.58,0.58,0.8,0.84,0.84
campania,15,0.97,0.94,0.82,0.69,0.71,0.67,0.65
puglia,16,1.02,0.85,0.72,0.65,0.75,0.72,0.67
basilicata,17,0.74,0.73,0.57,0.47,0.75,0.68,0.73
calabria,18,0.67,0.7,0.49,0.47,0.67,0.64,0.64
sicilia,19,0.93,0.85,0.72,0.58,0.7,0.68,0.66
sardegna,20,0.94,0.92,0.83,0.63,0.85,0.71,0.76
